,2,4_100,4_1000,4_10000,4_100000
#Streams: 1,0.18,0.37,0.19399999999999998,0.184,0.16
#Streams: 2,0.223,0.616,0.218,0.193,0.17
#Streams: 3,0.228,0.8420000000000001,0.257,0.183,0.16899999999999998
#Streams: 4,0.248,1.0959999999999999,0.285,0.196,0.16699999999999998
#Streams: 5,0.266,1.36,0.314,0.19399999999999998,0.165
#Streams: 6,0.28600000000000003,1.607,0.321,0.253,0.182
#Streams: 7,0.289,1.854,0.39399999999999996,0.212,0.17800000000000002
#Streams: 8,0.303,2.106,0.428,0.19699999999999998,0.18899999999999997
#Streams: 9,0.319,2.296,0.46399999999999997,0.228,0.177
#Streams: 10,0.344,2.439,0.439,0.244,0.184
