,1st,2nd,3rd,4th,5th,avg
#Streams: 1,2.649,2.636,2.685,2.706,2.874,2.71
#Streams: 2,5.573,5.386,4.915,5.298,4.998,5.234
#Streams: 3,7.347,8.245,7.4,7.466,7.353,7.562
#Streams: 4,10.007,9.269,9.332,9.875,9.97,9.691
#Streams: 5,11.491,13.616,12.902,13.826,12.318,12.831
#Streams: 6,15.273,13.707,14.53,13.629,13.647,14.157
#Streams: 7,16.063,16.524,15.731,16.369,17.332,16.404
#Streams: 8,19.179,18.101,18.379,18.829,17.991,18.496
#Streams: 9,20.781,21.447,20.348,20.421,20.78,20.755
#Streams: 10,22.774,22.774,23.16,23.442,23.765,23.183
