,1st,2nd,3rd,4th,5th,avg
#Streams: 1,3.729,2.877,2.799,2.872,2.657,2.987
#Streams: 2,5.174,5.382,5.186,6.068,5.597,5.481
#Streams: 3,9.035,7.953,8.66,8.082,8.501,8.446
#Streams: 4,14.224,12.433,12.282,12.326,13.973,13.048
#Streams: 5,13.206,13.011,12.375,12.356,12.427,12.675
#Streams: 6,15.01,15.383,15.005,15.491,14.846,15.147
#Streams: 7,17.381,17.881,17.133,17.476,17.791,17.532
#Streams: 8,20.34,20.122,19.697,20.973,20.586,20.344
#Streams: 9,24.562,23.898,24.147,23.301,22.607,23.703
#Streams: 10,26.756,30.061,25.461,24.357,25.209,26.369
